id,Bestellnummer,Menge,EAN,Name,Variante,Kategorie,L3-EK (privat),Aufschlag Standard,Aufschlag Minimum,VK
CAT00065,"=""LMB101007""",,"=""4262403384323""",Lost Mary BM600 CP Einweg E-Zigarette - Cotton Candy Ice (VE = 10Stk),"=""20mg""",Einweg,,25%,15%,
CAT00066,"=""LMB101008""",,"=""4262403384330""",Lost Mary BM600 CP Einweg E-Zigarette - Crazy Apple (VE = 10Stk),"=""20mg""",Einweg,,25%,15%,
CAT00067,"=""LMB101011""",,"=""4262403384361""",Lost Mary BM600 CP Einweg E-Zigarette - Kiwi Passion Fruit Guava (VE = 10Stk),"=""20mg""",Einweg,,25%,15%,
CAT00068,"=""LMB101017""",,"=""4262403384422""",Lost Mary BM600 CP Einweg E-Zigarette - Pink Lemonade (VE = 10Stk),"=""20mg""",Einweg,,25%,15%,
CAT00069,"=""LMB101019""",,"=""4262403384446""",Lost Mary BM600 CP Einweg E-Zigarette - Strawberry Ice (VE = 10Stk),"=""20mg""",Einweg,,25%,15%,
CAT00070,"=""LMB101021""",,"=""4262403384460""",Lost Mary BM600 CP Einweg E-Zigarette - Triple Mango (VE = 10Stk),"=""20mg""",Einweg,,25%,15%,
CAT00071,"=""LMB101022""",,"=""4262403384477""",Lost Mary BM600 CP Einweg E-Zigarette - Triple Melon (VE = 10Stk),"=""20mg""",Einweg,,25%,15%,
CAT00072,"=""LMB4001004""",,"=""4262403384538""",Lost Mary BM600 CP Einweg E-Zigarette - Blueberry Sour Raspberry (VE = 400Stk),"=""20mg""",Einweg,,25%,15%,
CAT00073,"=""LMB4001007""",,"=""4262403384569""",Lost Mary BM600 CP Einweg E-Zigarette - Cotton Candy Ice (VE = 400Stk),"=""20mg""",Einweg,,25%,15%,
CAT00074,"=""LMB4001011""",,"=""4262403384606""",Lost Mary BM600 CP Einweg E-Zigarette - Kiwi Passion Fruit Guava (VE = 400Stk),"=""20mg""",Einweg,,25%,15%,
CAT00075,"=""LMB4001017""",,"=""4262403384668""",Lost Mary BM600 CP Einweg E-Zigarette - Pink Lemonade (VE = 400Stk),"=""20mg""",Einweg,,25%,15%,
CAT00076,"=""LMB4001019""",,"=""4262403384682""",Lost Mary BM600 CP Einweg E-Zigarette - Strawberry Ice (VE = 400Stk),"=""20mg""",Einweg,,25%,15%,
CAT00077,"=""LMB4001021""",,"=""4262403384705""",Lost Mary BM600 CP Einweg E-Zigarette - Triple Mango (VE = 400Stk),"=""20mg""",Einweg,,25%,15%,
CAT00078,"=""LMB4001022""",,"=""4262403384712""",Lost Mary BM600 CP Einweg E-Zigarette - Triple Melon (VE = 400Stk),"=""20mg""",Einweg,,25%,15%,
CAT00079,"=""LMB101023""",,"=""4262403384484""",Lost Mary BM600 CP Einweg E-Zigarette - Watermelon Ice (VE = 10Stk),"=""20mg""",Einweg,,25%,15%,
CAT00080,"=""8102049""",,"=""4262403389281""",3x OXVA Xlim Top Fill Pod Tank Verdampfer,"=""0.6""",Pods,,25%,15%,
CAT00081,"=""8102050""",,"=""4262403389298""",3x OXVA Xlim Top Fill Pod Tank Verdampfer,"=""0.8""",Pods,,25%,15%,
